set_tt;set_tt_o;el3A80;el3A180;el1A80;el1A180;thA80;thA180;SpotPriceEUR
tt329;tt329;1,147;0,261;0,212;1,488;1,31431706;2,95569485;31,4
tt330;tt330;2,816;3,167;0,289;1,276;1,3145793;2,95628805;31,34
tt331;tt331;1,418;0,469;0,466;1,314;1,31640737;2,96039387;31,25
tt332;tt332;0,783;0,819;0,279;0,47;1,32667621;2,98348825;31,11
tt333;tt333;0,918;1,667;0,448;0,875;1,33278716;2,99724419;30,66
tt334;tt334;2,827;0,303;0,485;0,296;1,33096493;2,99315048;30,25
tt335;tt335;0,056;1,25;0,346;1,407;1,34140172;3,01661645;29,55
tt336;tt336;0,944;0,117;0,192;0,795;1,345411;3,02562265;29,02
tt337;tt337;0,421;1,223;2,854;0,176;1,34955932;3,03493828;28,54
tt338;tt338;0,522;0,377;0,213;0,273;1,34742732;3,03013187;27,33
tt339;tt339;0,1;0,252;0,104;0,439;1,34989465;3,03568337;27,09
tt340;tt340;0,032;0,919;0,656;0,201;1,35417228;3,0453143;27,33
tt341;tt341;0,203;0,571;0,168;0,159;1,37325775;3,08825662;28,7
tt342;tt342;0,999;1,398;0,084;0,171;1,38487076;3,11440052;29,09
tt343;tt343;0,265;0,476;0,224;0,212;1,39584661;3,13910038;26,21
