2017-11-02,12:00:00;tt7333;0,044;tt7333;0,138;tt7333;0,154;tt7333;1,911
2017-11-02,13:00:00;tt7334;1,11;tt7334;0,19;tt7334;0,253;tt7334;0,214
2017-11-02,14:00:00;tt7335;0,068;tt7335;0,333;tt7335;0,134;tt7335;3,305
2017-11-02,15:00:00;tt7336;0,222;tt7336;0,998;tt7336;0,531;tt7336;0,819
2017-11-02,16:00:00;tt7337;0,466;tt7337;0,124;tt7337;1,97;tt7337;0,296
2017-11-02,17:00:00;tt7338;0,315;tt7338;0,571;tt7338;1,186;tt7338;2,289
2017-11-02,18:00:00;tt7339;0,272;tt7339;1,14;tt7339;0,358;tt7339;0,435
2017-11-02,19:00:00;tt7340;0,293;tt7340;1,519;tt7340;0,327;tt7340;0,239
2017-11-02,20:00:00;tt7341;0,443;tt7341;0,715;tt7341;0,537;tt7341;0,421
2017-11-02,21:00:00;tt7342;0,26;tt7342;0,563;tt7342;0,073;tt7342;0,419
2017-11-02,22:00:00;tt7343;0,111;tt7343;0,307;tt7343;0,18;tt7343;0,949
2017-11-02,23:00:00;tt7344;0,079;tt7344;0,348;tt7344;0,104;tt7344;0,253
2017-11-03,00:00:00;tt7345;0,15;tt7345;0,231;tt7345;0,091;tt7345;0,169
2017-11-03,01:00:00;tt7346;0,134;tt7346;0,241;tt7346;0,052;tt7346;0,434
2017-11-03,02:00:00;tt7347;0,198;tt7347;0,161;tt7347;0,257;tt7347;0,195
2017-11-03,03:00:00;tt7348;0,06;tt7348;0,472;tt7348;0,06;tt7348;0,256
2017-11-03,04:00:00;tt7349;1,297;tt7349;0,415;tt7349;0,017;tt7349;0,82
2017-11-03,05:00:00;tt7350;0,399;tt7350;0,576;tt7350;0,483;tt7350;0,318
2017-11-03,06:00:00;tt7351;0,242;tt7351;0,542;tt7351;0,442;tt7351;1,35
2017-11-03,07:00:00;tt7352;0,121;tt7352;0,099;tt7352;0,189;tt7352;0,46
2017-11-03,08:00:00;tt7353;0,559;tt7353;0,141;tt7353;0,663;tt7353;0,679
2017-11-03,09:00:00;tt7354;0,173;tt7354;0,269;tt7354;0,241;tt7354;0,486
2017-11-03,10:00:00;tt7355;0,563;tt7355;0,176;tt7355;0,153;tt7355;0,348
2017-11-03,11:00:00;tt7356;1,207;tt7356;2,68;tt7356;0,066;tt7356;0,072
2017-11-03,12:00:00;tt7357;0,033;tt7357;0,202;tt7357;0,697;tt7357;0,358
2017-11-03,13:00:00;tt7358;0,484;tt7358;0,181;tt7358;0,099;tt7358;0,215
2017-11-03,14:00:00;tt7359;0,236;tt7359;0,338;tt7359;0,084;tt7359;0,767
2017-11-03,15:00:00;tt7360;1,301;tt7360;1,137;tt7360;2,511;tt7360;0,66
2017-11-03,16:00:00;tt7361;0,217;tt7361;2,396;tt7361;3,503;tt7361;2,397
2017-11-03,17:00:00;tt7362;0,409;tt7362;1,924;tt7362;1,382;tt7362;0,48
2017-11-03,18:00:00;tt7363;0,293;tt7363;1,422;tt7363;0,355;tt7363;0,678
2017-11-03,19:00:00;tt7364;0,558;tt7364;1,154;tt7364;0,232;tt7364;0,732
2017-11-03,20:00:00;tt7365;0,46;tt7365;0,394;tt7365;0,446;tt7365;0,734
2017-11-03,21:00:00;tt7366;0,379;tt7366;2,158;tt7366;0,511;tt7366;0,746
2017-11-03,22:00:00;tt7367;0,76;tt7367;0,33;tt7367;0,097;tt7367;0,327
2017-11-03,23:00:00;tt7368;0,118;tt7368;0,115;tt7368;0,878;tt7368;0,236
2017-11-04,00:00:00;tt7369;0,088;tt7369;0,133;tt7369;0,137;tt7369;0,263
2017-11-04,01:00:00;tt7370;0,223;tt7370;0,274;tt7370;0,001;tt7370;0,092
2017-11-04,02:00:00;tt7371;0,361;tt7371;0,197;tt7371;0,25;tt7371;0,149
2017-11-04,03:00:00;tt7372;0,171;tt7372;0,382;tt7372;0,083;tt7372;0,28
2017-11-04,04:00:00;tt7373;0,137;tt7373;0,435;tt7373;0,035;tt7373;0,209
2017-11-04,05:00:00;tt7374;0,228;tt7374;0,39;tt7374;0,516;tt7374;0,37
2017-11-04,06:00:00;tt7375;0,272;tt7375;0,431;tt7375;0,086;tt7375;1,096
2017-11-04,07:00:00;tt7376;0,164;tt7376;0,558;tt7376;0,095;tt7376;0,363
2017-11-04,08:00:00;tt7377;0,391;tt7377;0,591;tt7377;0,082;tt7377;1,384
2017-11-04,09:00:00;tt7378;0,684;tt7378;0,818;tt7378;0,31;tt7378;0,509
2017-11-04,10:00:00;tt7379;0,351;tt7379;0,939;tt7379;0,324;tt7379;1,632
2017-11-04,11:00:00;tt7380;0,36;tt7380;0,812;tt7380;0,38;tt7380;1,366
